7:8,29,58,70,76,138,224,302,495,518,616,650,692,1762,3234
18:8,17,32,534,10494,17608,24164,26299,32205,43893,47812,54038,63512,85561,102146
19:8,17,58,76,84,302,616,654,866,2048,10285,19480,32986,59083,63138
36:8,17,29,70,84,94,322,354,472,518,616,654,891,1382,2162
37:8,17,65,84,296,302,616,654,1126,1239,6009,9617,10520,57491,73168
41:17,58,101,138,302,356,542,564,616,654,1405,3890,4499,14202,18867
42:17,84,131,518,1009,1102,2008,2193,3642,3824,7451,14202,19666,21949,62137
43:17,58,138,899,1678,2345,2983,6977,14761,14906,15676,16726,19982,29732,105117
44:6,15,76,84,97,302,542,616,861,1217,2316,2338,5413,5710,26042
45:347,4858,11751,15580,16456,23970,31315,43527,47964,53016,53818,74038,83367,106466,110820
46:8,58,76,109,245,302,322,616,1102,7506,18256,19431,38663,45422,46215
59:15,29,58,76,119,508,564,616,654,1039,1102,3017,16134,29709,37900
60:3,8,29,58,76,84,162,302,616,650,726,1102,2868,6011,6848
69:58,61,302,402,559,564,654,813,1217,5465,8276,9931,14551,16319,31063
70:76,302,899,24138,31670,37657,38142,59931,68787,70795,73800,74624,76931,81381,119010
94:17,119,322,508,559,564,616,1152,6175,9617,11174,12066,20553,85755,95138
106:6,8,15,29,32,84,101,162,449,518,554,736,1102,14202,67595
115:8,15,29,58,138,289,354,518,709,861,966,1360,1762,2816,2982
116:70,76,138,226,719,834,986,1326,1790,2337,19277,29001,82524,96903,118640
142:8,29,32,58,61,84,296,364,454,709,1965,5176,8487,18867,19984
143:17,302,394,483,616,3231,15754,20605,40446,49245,50883,54752,86747,93049,120713
148:8,17,70,138,378,986,1023,1405,1790,4048,5103,5545,6024,18867,46215
150:8,17,29,61,101,289,302,322,554,650,654,861,1424,43133,81416
156:8,58,84,239,302,568,616,3420,3642,7029,12183,15148,19666,52773,91943
161:15,29,84,101,179,289,616,650,1039,1403,1926,5998,9581,12259,13062
171:6,8,15,84,101,239,245,289,302,354,650,726,861,1476,28641
172:8,58,76,84,138,162,239,483,518,542,554,654,861,1217,1937
174:4608,19585,20582,33107,38437,57606,68438,74620,82864,90200,91046,103672,109231,115036,122852
177:6,8,15,17,29,58,84,518,542,616,654,1102,1476,1550,3234
196:15,29,76,101,289,354,427,542,564,616,650,1762,3476,4578,17164
202:8,15,32,58,138,220,245,302,354,518,542,554,861,1102,1382
211:815,6574,7794,19749,39320,53187,63094,64225,67519,68281,106950,110439,115885,118581,122005
217:17,84,167,245,302,518,654,2548,7451,21949,29109,30531,33777,55991,75772
220:186,1342,1812,4032,7478,7649,10178,13192,22713,39446,40356,58738,64973,68179,93455
223:8,29,58,84,119,167,245,302,518,554,559,564,616,654,2030
224:353,601,1951,4589,4797,7126,12993,15627,15846,24044,44267,45229,53543,68162,80776
225:15,32,58,84,138,302,353,518,542,616,654,1119,1187,3476,32619
228:17,58,224,302,361,568,616,650,654,5097,10039,37864,47917,61858,117727
229:15,32,58,61,84,94,101,364,508,518,736,861,1102,1410,2068
231:58,76,84,94,119,239,301,302,361,378,616,654,1382,2904,95969
232:10261,37449,41443,48256,55056,60364,73208,77322,78975,83516,99135,100265,108129,109145,120622
238:17,61,441,1744,2672,3618,4421,4513,9055,10536,26712,42397,46530,47138,71081
241:15,29,58,61,76,84,94,289,518,542,616,650,861,1102,7973
245:81,262,650,2677,8588,12895,14059,16786,35859,40012,54223,62162,63414,80508,114452
249:15,17,29,84,94,254,301,302,518,546,616,654,8483,91921,91955
250:8,29,58,84,285,302,518,542,616,654,787,2031,3250,24489,108331
253:189,678,1206,1527,3107,3172,4568,4825,6434,7831,8848,15608,21771,23884,68990
257:15,17,65,84,101,289,296,354,542,554,709,861,1196,1476,1764
272:8,29,58,138,239,354,518,654,866,1102,5745,16621,22681,30556,55965
273:15,17,76,101,138,289,301,302,354,554,650,654,861,967,69400
288:15,17,29,58,76,84,116,364,449,616,650,699,1196,1548,5998
290:17,117,138,226,302,354,564,654,1382,1684,13501,18867,18901,23093,116016
291:17,23,84,518,1050,2528,10384,10511,15989,16625,16852,26067,26721,33734,61628
292:58,70,76,138,289,301,495,542,564,616,654,749,1476,3234,10930
294:8,15,17,29,76,101,289,302,353,354,363,861,899,1102,9763
328:3,58,84,239,245,302,319,650,654,726,866,1902,43507,114350,123082
331:6,15,17,58,84,302,616,650,654,2311,7271,8649,11208,35735,58471
345:385,805,1754,11281,11401,11841,29573,39936,62840,77581,80736,83173,92129,100590,120518
361:8,29,45,58,76,138,239,301,354,364,518,616,650,1762,3234
376:3,6,17,29,45,58,84,285,302,395,616,1567,2868,6284,8683
384:8,15,17,101,301,302,542,554,616,654,1196,1511,1684,1979,4940
401:29,32,48,58,301,354,496,542,616,650,899,1009,1102,14202,19431
402:8,15,84,101,162,239,289,302,518,542,654,861,3304,4793,16056
410:378,463,574,760,984,1013,1147,1326,2880,3172,3211,4755,4825,8860,10041
448:8,15,58,76,245,302,518,542,598,616,654,1276,17532,53377,70146
449:15,17,65,70,81,226,301,302,616,698,834,1039,5214,11484,54210
450:15,29,65,84,116,193,302,559,654,990,1039,8105,8276,25061,53377
452:17,749,5869,13523,17100,27205,29121,36183,44877,50599,56536,79249,81165,93072,112343
476:17,70,245,398,508,1840,6164,8213,12386,12716,15424,47309,69277,71577,77594
488:15,17,58,302,356,376,508,518,542,616,1196,1548,3304,4478,43182
490:15,17,29,32,61,76,101,138,289,302,354,394,554,650,1403
494:11,17,29,58,84,138,356,542,616,654,1212,6923,9942,10066,14202
500:17,76,302,1912,3448,4075,4756,5080,7795,8197,8861,12253,14750,21171,22199
514:17,76,416,1109,2103,2833,5214,8276,9874,10778,11206,18287,28541,34489,57750
525:70,84,116,140,245,302,354,496,564,616,654,875,1187,1498,6202
535:6,8,17,29,239,289,354,518,591,650,861,1102,1476,3234,14586
536:8,29,58,76,84,97,302,508,518,542,616,654,813,899,8276
538:58,76,101,302,354,616,654,1102,1762,5258,6976,9603,10269,42657,105037
539:15,17,29,32,58,61,84,138,518,542,564,654,1039,7409,14202
564:8,15,65,76,84,97,239,289,518,650,709,1102,1891,3234,86763
582:15,29,73,76,84,138,162,354,518,564,616,861,1102,1550,4174
585:8,17,29,58,70,84,185,245,302,373,616,654,4284,35767,46483
590:8,29,70,76,101,239,354,518,650,654,861,1762,2073,11108,22912
601:226,18245,27912,31717,48912,67228,69110,75023,90054,90819,94414,105155,118676,121234,121660
618:17,76,138,221,226,262,302,542,616,780,866,8359,25910,64390,71759
